pID,Name,From,To
100516,Amber Hall,2002,2002
100458,Vicki Hall,2000,2002
100270,Angela Hamblin,1998,1998
1627685,Ruth Hamblin,2016,2016
204324,Dearica Hamby,2015,2023
100342,Becky Hammon,1999,2014
203034,Keisha Hampton,2016,2017
100102,Kym Hampton,1997,1999
203845,Jennifer Hamson,2015,2017
100517,Romana Hamzova,2000,2000
1629566,Han Xu,2019,2023
204336,Alex Harden,2015,2016
201046,Lindsey Harding,2007,2016
201509,Laura Harper,2008,2009
1628897,Linnae Harper,2018,2023
100096,Donna Harrington,2000,2000
202644,Amber Harris,2011,2018
100084,Fran Harris,1997,1998
1630112,Tyasha Harris,2020,2023
204330,Isabelle Harrison,2016,2023
100378,Lisa Harrison,1999,2005
100222,Kristi Harrower,1998,2009
203829,Bria Hartley,2014,2022
203418,Jasmine Hassell,2013,2014
1630043,Bernadett Hatar,2021,2023
203403,Tianna Hawkins,2013,2023
100933,Vanessa Hayden,2004,2009
203026,Tiffany Hayes,2012,2023
101027,Kristin Haynie,2005,2009
100045,Dena Head,1997,2000
1630385,Shyla Heal,2021,2021
1630113,Ruthy Hebard,2020,2023
1631089,Destanni Henderson,2022,2023
100082,Nekeshia Henderson,2001,2001
100430,Tracy Henderson,1999,2003
100336,Sonja Henning,1999,2003
1630114,Mikiah Herbert Harrigan,2020,2021
100549,Amy Herrig,2000,2002
201048,Armintie Herrington,2007,2015
100538,Katrina Hibbert,2000,2000
100048,Jessie Hicks,1997,2004
1629567,Natisha Hiedeman,2019,2023
202255,Allison Hightower,2010,2017
100452,E.C. Hill,2000,2001
203401,Tayler Hill,2013,2019
1631044,Naz Hillmon,2022,2023
1628949,Khaalia Hillsman,2023,2023
1628899,Myisha Hines-Allen,2018,2023
100250,Korie Hlede,1998,2002
100908,Korie Hlede,1999,2002
101033,Roneeka Hodges,2005,2015
100928,Ebony Hoffman,2004,2014
100356,Chamique Holdsclaw,1999,2010
100421,Kedra Holland-Corn,1999,2006
201895,Quanitra Hollingsworth,2009,2015
1627680,Rachel Hollivay,2016,2017
1627678,Bria Holmes,2016,2021
100351,Joy Holmes,2000,2000
1630115,Joyner Holmes,2020,2023
201530,Sequoia Holmes,2008,2018
201483,Amber Holt,2008,2012
203835,Jordan Hooper,2014,2017
204348,Andrea Hoover,2015,2015
100408,Kym Hope,2000,2003
203563,Chelsea Hopkins,2013,2018
100071,Susie Hopson-Shelton,1997,1997
201487,Alexis Hornbuckle,2008,2013
1641651,Jordan Horston,2023,2023
201501,Charde Houston,2008,2014
202262,Ashley Houts,2010,2010
1629500,Anriel Howard,2019,2019
100431,Jennifer Howard,1999,1999
203827,Natasha Howard,2014,2023
1631009,Rhyne Howard,2022,2023
204337,Brittany Hrynko,2015,2015
1629570,Megan Huff,2020,2020
1631086,Lexie Hull,2022,2023
201488,Tasha Humphrey,2008,2009
202645,Ify Ibekwe,2011,2017
1629477,Sabrina Ionescu,2020,2023
101021,Sandora Irvin,2005,2011
100364,Dalma Ivanyi,1999,2006
100650,Niele Ivey,2001,2005
100197,Angela Jackson,1998,1998
